language_id,language_name,latitude,longitude,lineage
hund1239,Hunde,-1.46762,28.9308,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Great Lakes Bantu, Western Lakes Bantu, Kivu, Forest Kivu, Hunde-Havu"
hunj1241,Hunjara-Kaina Ke,-8.92,147.9,"Nuclear Trans New Guinea, Greater Binanderean, Binanderean, Nuclear Binanderean, South Binanderean, Orokaivic"
hong1241,Hong Kong-Macau Sign Language,22.160631,113.555225,"Sign Language, L1 Sign Language, CSLic"
hali1244,Halia,-5.26603,154.662,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Meso Melanesian linkage, New Ireland-Northwest Solomonic linkage, St George linkage, Northwest Solomonic, North Bougainville Oceanic, Nuclear North Bougainville Oceanic, Buka, Haliaic"
halb1244,Halbi,20.3081,81.3742,"Indo-European, Classical Indo-European, Indo-Iranian, Indo-Aryan, Middle-Modern Indo-Aryan, Continental Indo-Aryan, Indo-Aryan Eastern zone, Halbic"
hala1253,Halang Doan,14.9704,107.86,"Austroasiatic, Bahnaric, North Bahnaric, Kayong-Jeh-Halang, Unclassified Kayong-Jeh-Halang"
hler1235,Hlersu,24.4,101.4,"Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Lisoid, Lipo-Lolopo, Unclassified Lipo-Lolopo"
ngal1291,Nga La,23.312,92.83,"Sino-Tibetan, Kuki-Chin-Naga, Kuki-Chin, Peripheral Kuki-Chin, South Peripheral Kuki-Chin, Choic"
hier1240,Hieroglyphic Luwian,40.019722,34.615278,"Indo-European, Anatolian, Luvo-Lydian, Luvo-Palaic, Luvic, Luvian"
sout1556,Southern Mashan Hmong,25.3359,106.308,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Greater Chuanqiandian, Mashan"
humb1243,Humburi Senni Songhay,15.2948,-1.69301,"Songhay, Eastern Songhay"
cent2013,Central Huishui Hmong,26.041,106.719,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Greater Chuanqiandian, Huishui"
larg1235,Diandongbei-Large Flowery Miao,27.8682,104.06,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Greater Chuanqiandian"
east2372,Eastern Huishui Hmong,25.9942,106.832,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Greater Chuanqiandian, Huishui"
hmon1263,Hmong Don,21.5211,104.589,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Greater Chuanqiandian, Chuanqiandian, First Vernacular Hmong, Unclassified First Vernacular Hmong"
sout2756,Southwestern Guiyang Hmong,26.1803,106.003,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Greater Chuanqiandian, Guiyang"
sout2755,Southwestern Huishui Hmong,26.0436,106.561,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Greater Chuanqiandian, Huishui"
nort2749,Northern Huishui Hmong,26.3259,107.102,"Hmong-Mien, Hmongic, Nuclear Hmongic-Ho Ne, Nuclear Hmongic, West Hmongic, Greater Chuanqiandian, Huishui"
